Főkönyvi kivonat — Minta Gyártó Kft. — 2025.12.31;;;
Számla;Megnevezés;Tartozik egyenleg;Követel egyenleg
114;Szellemi termékek;2 500 000,00;
123;Épületek;12 000 000,00;
211;Anyagok;3 200 000,00;
311;Belföldi követelések (vevők);4 750 000,00;
384;Elszámolási betétszámla;6 400 000,00;
381;Pénztár;350 000,00;
466;Előzetesen felszámított általános forgalmi adó;400 000,00;
411;Jegyzett tőke;;10 000 000,00
413;Eredménytartalék;;5 500 000,00
454;Belföldi szállítók;;3 800 000,00
467;Fizetendő általános forgalmi adó;;900 000,00
522;Bérleti díjak;500 000,00;
811;Anyagjellegű ráfordítások;7 500 000,00;
911;Belföldi értékesítés árbevétele;;17 400 000,00
Összesen;;37 600 000,00;37 600 000,00
